type,tident,ident,Latitude,Longitude,y_proj,x_proj,comment,new_trk,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime,desc,link
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.12354329,-71.51418194,41.12354329,-71.51418194,,FALSE,FALSE,,,2.06,,,2017/07/05 15:10:48+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:10,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.12325587,-71.51459056,41.12325587,-71.51459056,,FALSE,FALSE,,,2.06,,,2017/07/05 15:11:01+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:11,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.1229061,-71.51509272,41.1229061,-71.51509272,,FALSE,FALSE,,,2.06,,,2017/07/05 15:11:17+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:11,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.12250997,-71.51556278,41.12250997,-71.51556278,,FALSE,FALSE,,,2.06,,,2017/07/05 15:11:33+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:11,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.12214477,-71.51589151,41.12214477,-71.51589151,,FALSE,FALSE,,,2.54,,,2017/07/05 15:11:47+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:11,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.12175643,-71.51626091,41.12175643,-71.51626091,,FALSE,FALSE,,,2.06,,,2017/07/05 15:12:02+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:12,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.12140825,-71.51658118,41.12140825,-71.51658118,,FALSE,FALSE,,,3.02,,,2017/07/05 15:12:15+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:12,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.12130398,-71.51667723,41.12130398,-71.51667723,,FALSE,FALSE,,,1.58,,,2017/07/05 15:12:19+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:12,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.12114875,-71.51681386,41.12114875,-71.51681386,,FALSE,FALSE,,,3.02,,,2017/07/05 15:12:25+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:12,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.12083551,-71.51720379,41.12083551,-71.51720379,,FALSE,FALSE,,,1.58,,,2017/07/05 15:12:39+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:12,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.12050502,-71.51762816,41.12050502,-71.51762816,,FALSE,FALSE,,,2.06,,,2017/07/05 15:12:53+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:12,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.12022598,-71.51804784,41.12022598,-71.51804784,,FALSE,FALSE,,,2.06,,,2017/07/05 15:13:06+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:13,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11987034,-71.51852134,41.11987034,-71.51852134,,FALSE,FALSE,,,2.54,,,2017/07/05 15:13:22+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:13,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11971988,-71.51874807,41.11971988,-71.51874807,,FALSE,FALSE,,,3.02,,,2017/07/05 15:13:29+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:13,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11956297,-71.51897681,41.11956297,-71.51897681,,FALSE,FALSE,,,3.98,,,2017/07/05 15:13:36+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:13,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11938067,-71.51921737,41.11938067,-71.51921737,,FALSE,FALSE,,,-0.82,,,2017/07/05 15:13:44+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:13,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11931403,-71.51930437,41.11931403,-71.51930437,,FALSE,FALSE,,,2.06,,,2017/07/05 15:13:47+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:13,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11900214,-71.51975666,41.11900214,-71.51975666,,FALSE,FALSE,,,3.5,,,2017/07/05 15:14:02+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:14,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11872294,-71.52015614,41.11872294,-71.52015614,,FALSE,FALSE,,,3.98,,,2017/07/05 15:14:15+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:14,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11847324,-71.52069552,41.11847324,-71.52069552,,FALSE,FALSE,,,5.42,,,2017/07/05 15:14:30+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:14,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11827551,-71.52117723,41.11827551,-71.52117723,,FALSE,FALSE,,,3.02,,,2017/07/05 15:14:43+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:14,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11804082,-71.52167335,41.11804082,-71.52167335,,FALSE,FALSE,,,1.1,,,2017/07/05 15:14:57+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:14,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11784955,-71.52211717,41.11784955,-71.52211717,,FALSE,FALSE,,,0.62,,,2017/07/05 15:15:09+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:15,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.1176799,-71.52252537,41.1176799,-71.52252537,,FALSE,FALSE,,,0.62,,,2017/07/05 15:15:20+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:15,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11738762,-71.52316935,41.11738762,-71.52316935,,FALSE,FALSE,,,-1.3,,,2017/07/05 15:15:38+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:15,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.1171163,-71.52379397,41.1171163,-71.52379397,,FALSE,FALSE,,,1.1,,,2017/07/05 15:15:55+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:15,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11683056,-71.52429102,41.11683056,-71.52429102,,FALSE,FALSE,,,1.58,,,2017/07/05 15:16:10+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:16,,
TRACK,Current Track: 05 JUL 2017 11:03,T1,41.11653535,-71.52471514,41.11653535,-71.52471514,,FALSE,FALSE,,,2.06,,,2017/07/05 15:16:24+00,garmin GPSMAP 78s Software Version 610,,7/5/17 11:16,,
