,tsDate,spp,sex,X,tsHr,HrTimeHr,HrTempF,HrDewPtF,HrHumid,HrSeaLvlPrs,HrVisMPH,HrWindSpd,HrGustSpd,HrPrecip,HrWindDirCirc,HrWeek,HrBirds,HrDets,HrChkAgeMean,HrSigMean,DailyDate,TempF,DewPtF,Humid,SeaLvlPrs,VisM,WindSpd,GustSpd,Precip,WindDirCirc,Birds,Dets,ChkAgeMean,SigMean,Dawn,Dusk,Sunrise,Sunset
239,6/22/16,ROST,F,239,6/22/16 1:00,6/22/16 1:00,68,55,63,29.83,10,3.5,,0,340,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,0,0,,,,,,
244,6/22/16,ROST,F,244,6/22/16 2:00,6/22/16 2:00,66,55,68,29.83,10,0,,0,0,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,0,0,,,,,,
249,6/22/16,ROST,F,249,6/22/16 3:00,6/22/16 3:00,64.9,54,68,29.82,10,0,,0,0,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,0,0,,,,,,
254,6/22/16,ROST,F,254,6/22/16 4:00,6/22/16 4:00,62.1,53.1,72,29.82,10,3.5,,0,350,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,0,0,,,,,,
259,6/22/16,ROST,F,259,6/22/16 5:00,6/22/16 5:00,62.1,53.1,72,29.82,10,4.6,,0,180,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,0,0,,,,,,
264,6/22/16,ROST,F,264,6/22/16 7:00,6/22/16 7:00,66,60.1,81,29.83,10,8.1,,0,200,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,0,0,,,,,,
269,6/22/16,ROST,F,269,6/22/16 8:00,6/22/16 8:00,70,57.9,65,29.84,10,6.9,,0,210,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,0,0,,,,,,
274,6/22/16,ROST,F,274,6/22/16 9:00,6/22/16 9:00,72,57,59,29.82,10,8.1,,0,190,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,0,0,,,,,,
279,6/22/16,ROST,F,279,6/22/16 10:00,6/22/16 10:00,72,59,64,29.83,10,10.4,,0,200,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,0,0,,,,,,
284,6/22/16,ROST,F,284,6/22/16 11:00,6/22/16 11:00,73,57,57,29.84,10,9.2,,0,200,25,0,0,,,6/22/16,68.57083333,59.24166667,72.45833333,29.84541667,9.958333333,7.1625,16.1,0,210.8013502,0,0,,,,,,
